Requisition ID,Requisition Display Job Title,Requisition Division,Requisition Owner - Name,Requisition Date Filled,Applicant Submission Source,Requisition Time to Fill,Candidates per req
req1526,Distribution Technician (Temp to Perm),Distribution PA,Recruiter3,7/29/19 14:28,Added Manually,141,2
req2563,"Account Executive - Bowling Green, KY",Sales,Recruiter3,3/31/20 12:59,Career Center,40,1
req1448,Distribution Technician (Temp to Perm),Distribution PA,Recruiter3,6/10/19 16:28,Added Manually,132,1
req496,Customer Service Representative,Customer Service,Recruiter3,1/17/18 13:20,Added Manually,14,2
req963,"Account Executive - Syracuse, NY",Sales,Recruiter3,9/14/18 11:28,Careers Page,57,35
req1760,"Director, Software Engineering",R&D,Recruiter3,11/13/19 15:56,Agency - M,157,138
req491,Production Technician I,Distribution,Recruiter3,1/8/18 11:25,Added Manually,7,1
req1849,"Account Executive - Lexington, KY",Sales,Recruiter3,9/12/19 11:53,Careers Page,66,8
2017-2700,"Associate Account Executive - Tampa, FL",Sales,Recruiter3,6/12/18 20:51,Added Manually,270,124
req1530,"Account Executive - Knoxville, TN",Sales,Recruiter4,4/9/19 14:00,Internal Referral - Referral Suggested,42,17
req2102,SQA Consultant,R&D,Recruiter4,10/4/19 14:15,Agency - B,12,1
req1212,Account Executive - Raleigh East NC,Sales,Recruiter4,1/18/19 14:13,Careers Page,85,21
req1923,Project Manager II,Project Management,Recruiter4,2/21/20 18:12,Added Manually,141,1
req1936,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,9/12/19 11:57,Added Manually,46,1
req810,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,10/31/18 19:11,Added Manually,171,1
req2680,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,5/29/20 20:30,Added Manually,20,1
req1701,Distribution Technician (Temp to Perm),Distribution AZ,Recruiter4,9/12/19 11:57,Added Manually,119,3
req1831,Inside Sales Representative-Temp to Perm,Customer Ops,Recruiter4,9/12/19 15:16,Added Manually,78,4
req1273,Distribution Technician Temp,Distribution PA,Recruiter4,4/4/19 18:45,Added Manually,144,1
req2246,Talent Acquisition Partner,Human Resources,Recruiter4,12/12/19 12:18,Career Center,18,1
req949,Associate Account Executive -St. Louis,Sales,Recruiter4,10/18/18 10:16,Careers Page,101,4
req1725,Associate Account Executive (Inside),Sales,Recruiter4,9/25/19 17:15,Career Center,121,21
req1384,Talent Acquisition Coordinator,Human Resources,Recruiter4,2/28/19 8:24,Careers Page,70,58
req1485,"Account Executive - Virginia Beach, VA",Sales,Recruiter4,3/24/19 19:33,Careers Page,52,11
req1010,Account Executive - Long Island (West),Sales,Recruiter4,1/15/19 11:26,Careers Page,155,36
req979,Cardiac Specialist,Wireless Monitoring,Recruiter4,8/23/18 12:09,Added Manually,30,1
req1298,US Alliance Global Accounts Manager,Sales,Recruiter4,1/17/19 14:03,Career Center,44,24
req1488,"Account Executive - Los Angeles, CA",Sales,Recruiter4,3/26/19 8:34,Agency - O,54,9
req865,Cardiac Specialist,Wireless Monitoring,Recruiter4,8/23/18 12:01,Added Manually,79,2
req2529,Account Executive - Colorado South,Sales,Recruiter4,3/5/20 11:50,Added Manually,17,1
req966,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,10/31/18 19:09,Added Manually,104,1
req1277,"Associate Account Executive - Akron/Cleveland, OH",Sales,Recruiter4,3/6/19 16:11,Careers Page,115,26
req858,Distribution Technician (Temp to Perm) - copy,Distribution AZ,Recruiter4,10/31/18 19:08,Added Manually,153,1
req1806,"VP, Customer Service",Patient Services,Recruiter4,6/27/19 16:43,Careers Page,9,11
req2472,"Associate Account Executive - Richmond, VA",Sales,Recruiter4,6/17/20 17:56,Agency- Ac,60,22
req1075,Sales Support Specialist,Sales,Recruiter4,12/13/18 14:39,Added Manually,87,15
req2368,Monitoring Technician Trainee,Wireless Monitoring,Recruiter4,1/6/20 18:11,Added Manually,8,1
req1527,Distribution Technician Temp to Perm,Distribution AZ,Recruiter4,8/5/19 15:34,Added Manually,148,3
req2340,Account Executive - Tyler TX,Sales,Recruiter4,1/7/20 16:12,Added Manually,19,1
req990,Quality Assurance Engineer,28101 R&d Admin,Recruiter4,9/13/18 8:25,Added Manually,49,1
req499,Human Resources Receptionist,Human Resources,Recruiter4,2/19/18 12:01,Careers Page,42,60
req2470,"Account Executive - San Jose, CA",Sales,Recruiter4,6/17/20 17:55,Added Manually,139,48
req1493,Account Executive - Philadelphia West,Sales,Recruiter4,3/6/19 16:11,Added Manually,30,8
req1834,Talent Acquisition Partner (Technology Focused),Human Resources,Recruiter4,8/25/19 11:04,LinkedIN,52,16
req2104,Field Operations Manager,Sales,Recruiter4,12/27/19 13:35,Careers Page,101,10
req1399,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,6/10/19 16:16,Added Manually,132,2
req1071,Distribution Technician Temp to Perm,Distribution AZ,Recruiter4,10/31/18 19:05,Added Manually,56,1
req2370,Monitoring Technician Trainee,Wireless Monitoring,Recruiter4,3/16/20 12:39,LinkedIN,78,1
req1728,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,8/7/19 11:40,Added Manually,83,1
req829,"Account Executive - Charleston, SC/Savannah, GA",Sales,Recruiter4,9/10/18 8:52,Careers Page,112,29
req1357,Account Executive - Houston South,Sales,Recruiter4,4/5/19 16:06,Added Manually,107,17
req1219,Software Architect,R&D,Recruiter4,1/4/19 18:21,Added Manually,29,3
req1269,Distribution Technician Temp,Distribution PA,Recruiter4,2/4/19 11:43,Agency - Ex,85,1
req1497,"Account Executive - Lexington, KY",Sales,Recruiter4,6/27/19 13:55,Careers Page,129,25
req1012,Senior Network Engineer,IT Business Systems,Recruiter4,1/22/19 15:52,Added Manually,155,8
req497,Helpdesk Support Technician II,09 Corporate Information Technology,Recruiter4,2/5/18 10:20,Careers Page,22,34
req976,"Director, National Accounts - East",National Accounts,Recruiter4,12/19/18 17:05,Careers Page,148,119
req1013,"Account Executive - Jackson, MS",Sales,Recruiter4,1/2/19 14:29,Careers Page,142,46
req1268,Distribution Technician Temp,Distribution PA,Recruiter4,11/26/18 9:11,Agency - PS,15,1
req740,Software Tools Engineer,28101 R&d Admin,Recruiter4,6/26/18 8:00,Careers Page,58,4
2017-2827,Distribution Technician Temp,Distribution PA,Recruiter4,10/31/18 19:07,Added Manually,331,11
req1425,Account Executive - Delaware,Sales,Recruiter4,5/20/19 8:39,Careers Page,127,29
req2028,Sr. Network Engineer - Contract to Hire,IT Support,Recruiter4,9/12/19 15:19,Agency - P,15,1
req1784,Sales Operations Director,Sales,Recruiter4,10/20/19 12:55,Careers Page,129,55
req808,"Regional Sales Director - TX, OK, NM",Sales,Recruiter4,9/24/18 13:11,Careers Page,132,139
req1211,"Account Executive - Wilmington, NC",Sales,Recruiter4,1/18/19 14:03,Careers Page,85,15
req1469,Marketing Brand Manager,Sales,Recruiter4,4/24/19 11:59,Careers Page,85,22
req1726,Summer Intern,Customer Ops,Recruiter4,6/27/19 16:43,Added Manually,29,17
req991,Quality Assurance Engineer,28101 R&d Admin,Recruiter4,10/3/18 16:41,Added Manually,69,1
req2380,Sales Manager Nordics - Sweden,Adea,Recruiter4,2/4/20 11:55,Added Manually,2,1
req2244,Associate Account Executive - Florida,Sales,Recruiter4,1/16/20 15:16,Agency- Ac,81,20
req1270,Distribution Technician Temp,Distribution PA,Recruiter4,2/11/19 14:29,Added Manually,92,1
req1491,Distribution Technician (Temp),Distribution PA,Recruiter4,4/3/19 17:41,Added Manually,58,1
2018-2870,Distribution Technician (Temp to Perm),Distribution PA,Recruiter4,7/13/18 17:41,Added Manually,169,1
2017-2639,"Manager, Business Development - So CAL",Sales,Recruiter4,2/11/19 14:28,Careers Page,574,32
req713,Project Manager - R&D,28101 R&d Admin,Recruiter4,9/25/18 21:33,Agency - M,155,75
2017-2657,Contract Administrator,Contracting Administration,Recruiter4,5/31/18 21:15,Added Manually,1760,64
req1917,Distribution Technician Lead,Distribution AZ,Recruiter4,10/7/19 10:20,Career Center,77,1
req1416,Associate Account Executive - Dallas,Sales,Recruiter4,3/29/19 15:15,Careers Page,81,10
req1356,Account Executive Houston North,Sales,Recruiter4,3/29/19 15:14,Added Manually,100,10
req1879,"Director, Quality Assurance",Quality & Regulatory,Recruiter4,1/6/20 12:02,Careers Page,182,65
req1174,Quality Engineer,Complaint Management,Recruiter4,2/11/19 14:22,Careers Page,104,36
req861,Human Resources Coordinator & Receptionist,Human Resources,Recruiter4,9/6/18 16:19,Careers Page,93,114
req1408,Associate Account Executive - Michigan,Sales,Recruiter4,3/11/19 8:23,Careers Page,64,7
req731,Operations Application Developer Temp,Patient Experience,Recruiter4,5/16/18 19:18,Internal Referral - Referral Other,10,1
